dates_gif,dates_path
1806_06_16,18060616
1815_07_06,18150706
1824_06_26,18240626
1832_07_27,18320727
1834_11_30,18341130
1850_08_07,18500807
1851_07_28,18510728
1860_07_18,18600718
1861_12_31,18611231
1869_08_07,18690807
1870_12_22,18701222
1878_07_29,18780729
1880_01_11,18800111
1886_08_29,18860829
1889_01_01,18890101
1893_04_16,18930416
1900_05_28,19000528
1905_08_30,19050830
1911_04_28,19110428
1916_02_03,19160203
1918_06_08,19180608
1919_05_29,19190529
1923_09_10,19230910
1925_01_24,19250124
1932_08_31,19320831
1937_06_08,19370608
1945_07_09,19450709
1947_05_20,19470520
1959_10_02,19591002
1963_07_20,19630720
1970_03_07,19700307
1972_07_10,19720710
1977_10_12,19771012
1979_02_26,19790226
1991_07_11,19910711
1998_02_26,19980226
2015_03_20,20150320
2017_08_21,20170821
